ALFA HOSPITALS
Comprehensive Hospital Price List
"Effective Date: September 19, 2025"
LABORATORY SERVICES,
Item,Price
24 HOURS URINE PROTEIN,"30,000"
ABS EOSINPHIL COUNT,"15,500"
ACID PHOSPHATE,"13,000"
ADENOSINE DEAMINASE,"180,000"
Adenosine Deaminase ( ADA) - SERUM,"70,000"
AG RATIO,"13,000"
Albumin,"20,000"
ALBUMIN,"13,000"
ALCOHOL,"45,000"
ALDOSTERONE,"75,000"
ALP,"13,000"
Alpha Feto Protein (AFP Tumor Marker),"65,000"
ALT (SGPT),"13,000"
AMYLASE,"20,000"
Anti Cardiolipin Levels,"135,000"
ANTINEUTRALPHILLIC CYTOPLASMIC ANTIBODIES,"250,000"
Antineutrophil Cytoplasmic Antibodies - (pANCA or cANCA),"250,000"
ANTINUCLEAR ANTIBODY-ANA,"85,000"
APTT,"32,000"
ASCITIC- ADA,"145,000"
ASCITIC BIOCHEMISTRY,"165,000"
ASCITIC FLUID CYTOLOGY,"155,000"
ASCITIC-ADA,"115,000"
ASOT,"20,000"
AST (SGOT),"13,000"
AST (SGOT-NHIF),"13,000"
BENCE JONES PROTEIN,"13,000"
BETA HCG,"52,000"
Beta HCG - Qualitative /Quantitative,"52,000"
BILIRUBIN DIRECT,"13,000"
Bilirubin Level (Direct/Indirect),"13,000"
BILIRUBIN TOTAL,"13,000"
BLEEDING TIME,"6,500"
BLOOD GROUPING,"13,000"
Blood Grouping /Rh Typing and Cross matching,"13,000"
Item,Price
BLOOD SLIDE FOR M F,"13,000"
BLOOD SLIDE FOR MALARIA,"3,900"
Blood Urea Nitrogen (BUN),"13,000"
BNP,"160,000"
C.M.V 1gG/Igm,"35,000"
CA-125,"120,000"
CALCIUM,"20,000"
CANCER ANTIGEN 125,"120,000"
Cancer Antigen 19.9,"80,000"
CARBON DIOXIDE,"13,000"
Carcino Embryonic Antigen (CEA),"70,000"
CARDIAC PROFILE,"220,000"
CD 4/8 COUNT,"85,000"
CEA,"70,000"
CHLAMYDIA ANTIGEN,"35,000"
CHOLESTEROL,"13,000"
CK,"32,000"
CK-MB,"32,000"
CLOTTING TIME,"6,500"
CMV,"65,000"
Coombs Test (Direct/Indirect),"30,000"
CORTISOL,"52,000"
C-PEPTIDE,"95,000"
CREATININE,"13,000"
CREATININE CLEARANCE TEST,"32,000"
CROSS-MATCH & BLOOD FOR TRANSFUSION,"120,000"
CRP,"20,000"
CSF -Glucose,"10,000"
CSF-Protein,"20,000"
CULTURE and SENSITITY - THROAT SWAB,"50,000"
CULTURE and SENSITIVITIY - BLOOD,"70,000"
CULTURE and SENSITIVITIY - PUS,"30,000"
CULTURE and SENSITIVITY - CSF,"30,000"
CULTURE and SENSITIVITY - EAR SWAB,"30,000"
CULTURE and SENSITIVITY - HVS,"30,000"
CULTURE and SENSITIVITY - SPUTUM,"30,000"
Item,,Price
CULTURE and SENSITIVITY - STOOL,,"30,000"
CULTURE and SENSITIVITY - SYNOVIAL FLUID,,"50,000"
CULTURE and SENSITIVITY - URETHERAL SWAB,,"55,000"
CULTURE and SENSITIVITY - URINE,,"50,000"
CULTURE and SENSITIVITY-ASCITIC FLUID,,"200,000"
CULTURE PLEURAL FLUID,,"75,000"
Cytomegalovirus (I gmandIgG),,"65,000"
D. Dimer or Fibrinogen Degradation Products (FDPs),,"65,000"
D-DIMER,,"65,000"
DENGUE FEVER,,"55,000"
DIABETIC PROFILE,,"135,000"
Direct coombs test,,"30,000"
